match_id,innings,team,player,runs,balls,fours,sixes,strike_rate,dismissal,not_out,boundary_runs,boundary_percentage,is_fifty,is_hundred
IPL_2019_001,1,LSG,KL Rahul,59,35,4,3,168.57,b Cummins,0,34,57.63,1,0
IPL_2019_001,1,LSG,Quinton de Kock,29,20,1,1,145.0,lbw b Chahal,0,10,34.48,0,0
IPL_2019_001,1,LSG,Marcus Stoinis,48,26,3,2,184.62,c Dhoni b Bumrah,0,24,50.0,0,0
IPL_2019_001,1,LSG,Nicholas Pooran,44,38,3,1,115.79,b Cummins,0,18,40.91,0,0
IPL_2019_001,1,LSG,Ayush Badoni,1,1,0,0,100.0,b Cummins,0,0,0.0,0,0
IPL_2019_001,2,PBKS,Shikhar Dhawan,38,33,4,1,115.15,c & b Narine,0,22,57.89,0,0
IPL_2019_001,2,PBKS,Jonny Bairstow,29,24,3,0,120.83,lbw b Chahal,0,12,41.38,0,0
IPL_2019_001,2,PBKS,Prabhsimran Singh,31,17,2,1,182.35,b Cummins,0,14,45.16,0,0
IPL_2019_001,2,PBKS,Rilee Rossouw,34,27,2,0,125.93,run out,0,8,23.53,0,0
IPL_2019_001,2,PBKS,Sam Curran,25,19,1,0,131.58,c Dhoni b Bumrah,0,4,16.0,0,0
IPL_2019_002,1,KKR,Phil Salt,29,21,1,0,138.1,b Cummins,0,4,13.79,0,0
IPL_2019_002,1,KKR,Sunil Narine,50,29,3,2,172.41,c Dhoni b Bumrah,0,24,48.0,1,0
IPL_2019_002,1,KKR,Venkatesh Iyer,67,38,4,4,176.32,b Cummins,0,40,59.7,1,0
IPL_2019_002,1,KKR,Shreyas Iyer,33,20,2,1,165.0,c Dhoni b Bumrah,0,14,42.42,0,0
IPL_2019_002,1,KKR,Rinku Singh,14,12,1,0,116.67,c Dhoni b Bumrah,0,4,28.57,0,0
IPL_2019_002,2,PBKS,Shikhar Dhawan,42,35,2,2,120.0,run out,0,20,47.62,0,0
IPL_2019_002,2,PBKS,Jonny Bairstow,44,27,2,2,162.96,run out,0,20,45.45,0,0
IPL_2019_002,2,PBKS,Prabhsimran Singh,22,13,1,1,169.23,run out,0,10,45.45,0,0
IPL_2019_002,2,PBKS,Rilee Rossouw,12,8,0,0,150.0,c Dhoni b Bumrah,0,0,0.0,0,0
IPL_2019_002,2,PBKS,Sam Curran,12,10,1,0,120.0,b Cummins,0,4,33.33,0,0
IPL_2019_002,2,PBKS,Jitesh Sharma,17,10,0,1,170.0,run out,0,6,35.29,0,0
IPL_2019_002,2,PBKS,Shashank Singh,29,17,2,1,170.59,not out,1,14,48.28,0,0
IPL_2019_003,1,RR,Yashasvi Jaiswal,24,18,1,0,133.33,c Dhoni b Bumrah,0,4,16.67,0,0
IPL_2019_003,1,RR,Jos Buttler,49,31,4,1,158.06,lbw b Chahal,0,22,44.9,0,0
IPL_2019_003,1,RR,Sanju Samson,44,29,1,2,151.72,c & b Narine,0,16,36.36,0,0
IPL_2019_003,1,RR,Riyan Parag,31,26,2,1,119.23,b Cummins,0,14,45.16,0,0
IPL_2019_003,1,RR,Dhruv Jurel,27,16,1,1,168.75,not out,1,10,37.04,0,0
IPL_2019_003,2,PBKS,Shikhar Dhawan,34,22,2,2,154.55,c & b Narine,0,20,58.82,0,0
IPL_2019_003,2,PBKS,Jonny Bairstow,32,25,2,1,128.0,b Cummins,0,14,43.75,0,0
IPL_2019_003,2,PBKS,Prabhsimran Singh,59,36,5,1,163.89,lbw b Chahal,0,26,44.07,1,0
IPL_2019_003,2,PBKS,Rilee Rossouw,44,27,3,1,162.96,run out,0,18,40.91,0,0
IPL_2019_003,2,PBKS,Sam Curran,13,9,1,0,144.44,run out,0,4,30.77,0,0
IPL_2019_004,1,SRH,Travis Head,22,15,1,1,146.67,b Cummins,0,10,45.45,0,0
IPL_2019_004,1,SRH,Abhishek Sharma,40,24,3,2,166.67,run out,0,24,60.0,0,0
IPL_2019_004,1,SRH,Rahul Tripathi,43,25,3,2,172.0,run out,0,24,55.81,0,0
IPL_2019_004,1,SRH,Aiden Markram,46,32,1,3,143.75,run out,0,22,47.83,0,0
IPL_2019_004,1,SRH,Heinrich Klaasen,41,24,4,1,170.83,not out,1,22,53.66,0,0
IPL_2019_004,2,LSG,KL Rahul,36,20,2,2,180.0,c & b Narine,0,20,55.56,0,0
IPL_2019_004,2,LSG,Quinton de Kock,45,31,3,2,145.16,b Cummins,0,24,53.33,0,0
IPL_2019_004,2,LSG,Marcus Stoinis,26,20,2,0,130.0,run out,0,8,30.77,0,0
IPL_2019_004,2,LSG,Nicholas Pooran,42,37,3,2,113.51,run out,0,24,57.14,0,0
IPL_2019_004,2,LSG,Ayush Badoni,17,12,0,0,141.67,b Cummins,0,0,0.0,0,0
IPL_2019_005,1,RCB,Faf du Plessis,30,20,3,1,150.0,c Dhoni b Bumrah,0,18,60.0,0,0
IPL_2019_005,1,RCB,Virat Kohli,29,20,2,1,145.0,lbw b Chahal,0,14,48.28,0,0
IPL_2019_005,1,RCB,Will Jacks,13,9,0,0,144.44,c Dhoni b Bumrah,0,0,0.0,0,0
IPL_2019_005,1,RCB,Rajat Patidar,28,20,1,0,140.0,c & b Narine,0,4,14.29,0,0
IPL_2019_005,1,RCB,Glenn Maxwell,27,20,1,1,135.0,c & b Narine,0,10,37.04,0,0
IPL_2019_005,1,RCB,Cameron Green,42,29,2,1,144.83,c & b Narine,0,14,33.33,0,0
IPL_2019_005,1,RCB,Dinesh Karthik,2,2,0,0,100.0,c Dhoni b Bumrah,0,0,0.0,0,0
IPL_2019_005,2,KKR,Phil Salt,27,20,2,1,135.0,run out,0,14,51.85,0,0
IPL_2019_005,2,KKR,Sunil Narine,44,24,2,2,183.33,lbw b Chahal,0,20,45.45,0,0
IPL_2019_005,2,KKR,Venkatesh Iyer,53,30,3,3,176.67,run out,0,30,56.6,1,0
IPL_2019_005,2,KKR,Shreyas Iyer,45,29,3,1,155.17,c & b Narine,0,18,40.0,0,0
IPL_2019_005,2,KKR,Rinku Singh,9,8,0,0,112.5,c Dhoni b Bumrah,0,0,0.0,0,0
IPL_2019_006,1,GT,Shubman Gill,27,17,2,1,158.82,c Dhoni b Bumrah,0,14,51.85,0,0
IPL_2019_006,1,GT,Wriddhiman Saha,65,37,4,3,175.68,c Dhoni b Bumrah,0,34,52.31,1,0
IPL_2019_006,1,GT,Sai Sudharsan,59,32,4,3,184.38,b Cummins,0,34,57.63,1,0
IPL_2019_006,1,GT,David Miller,30,25,2,0,120.0,run out,0,8,26.67,0,0
IPL_2019_006,1,GT,Azmatullah Omarzai,14,9,1,0,155.56,b Cummins,0,4,28.57,0,0
IPL_2019_006,2,DC,David Warner,11,9,1,0,122.22,lbw b Chahal,0,4,36.36,0,0
IPL_2019_006,2,DC,Prithvi Shaw,12,9,1,0,133.33,run out,0,4,33.33,0,0
IPL_2019_006,2,DC,Jake Fraser-McGurk,37,23,1,1,160.87,b Cummins,0,10,27.03,0,0
IPL_2019_006,2,DC,Rishabh Pant,54,35,4,2,154.29,b Cummins,0,28,51.85,1,0
IPL_2019_006,2,DC,Tristan Stubbs,26,22,2,0,118.18,lbw b Chahal,0,8,30.77,0,0
IPL_2019_006,2,DC,Axar Patel,38,22,2,1,172.73,not out,1,14,36.84,0,0
IPL_2019_007,1,RR,Yashasvi Jaiswal,28,19,2,1,147.37,c Dhoni b Bumrah,0,14,50.0,0,0
IPL_2019_007,1,RR,Jos Buttler,25,16,2,1,156.25,run out,0,14,56.0,0,0
IPL_2019_007,1,RR,Sanju Samson,30,22,3,1,136.36,run out,0,18,60.0,0,0
IPL_2019_007,1,RR,Riyan Parag,10,8,0,0,125.0,run out,0,0,0.0,0,0
IPL_2019_007,1,RR,Dhruv Jurel,58,34,3,3,170.59,lbw b Chahal,0,30,51.72,1,0
